t,o,h,l,c
1782881100,30454.25,30469.75,30454.25,30466.25
1782881400,30467,30474.5,30464,30470.75
1782881700,30470,30472.75,30441.5,30443.5
1782882000,30445.75,30448.5,30435.5,30446.25
1782882300,30445.75,30463,30444.75,30449.75
1782882600,30450,30450,30440,30446.5
1782882900,30444.25,30450.75,30440,30448.25
1782883200,30448,30448,30429.25,30440.25
1782883500,30440,30441.25,30429.75,30436.75
1782883800,30436,30446.75,30428,30434
1782884100,30435.25,30437.5,30422.25,30435.25
1782884400,30436.75,30452.25,30431.25,30436.5
1782884700,30435.5,30445.25,30425,30426
1782885000,30425.25,30440.75,30424,30431.5
1782885300,30430.25,30439,30428,30429.5
1782885600,30430,30444,30410.25,30415.5
1782885900,30415,30426,30409.75,30416
1782886200,30415.5,30427.25,30405,30408.25
1782886500,30408,30416.5,30391.25,30392
1782886800,30391.5,30398,30379.5,30382
1782887100,30381.5,30397.75,30364.5,30395
1782887400,30396,30410,30392.5,30394.75
1782887700,30394,30399,30388,30395
1782888000,30392.5,30407.25,30383.5,30407.25
1782888300,30407.25,30419.75,30401.25,30414
1782888600,30414,30416.5,30396.5,30397.5
1782888900,30397.5,30397.5,30381,30391.5
1782889200,30391.75,30394.75,30358,30369.5
1782889500,30370.25,30373.5,30345.5,30353.75
1782889800,30353,30354.5,30328,30334.25
1782890100,30334,30338.75,30299,30322
1782890400,30321.75,30352.25,30302.5,30348.75
1782890700,30346.75,30358.5,30344,30350
1782891000,30350,30363.75,30345,30359.5
1782891300,30359.75,30369.25,30349.75,30364.75
1782891600,30364.5,30366.75,30354.75,30356
1782891900,30357.25,30376.5,30348,30374.5
1782892200,30375.25,30380.5,30358.25,30374.75
1782892500,30375.25,30383.75,30370.25,30374
1782892800,30374.75,30376.75,30338.25,30339.25
1782893100,30339.25,30365,30333.75,30354
1782893400,30353,30363.25,30344.5,30358.5
1782893700,30357,30367.25,30350.75,30354.5
1782894000,30354.75,30361.5,30333.25,30345
1782894300,30344.25,30353,30321.75,30333.25
1782894600,30331.25,30344.25,30317.5,30338.25
1782894900,30340,30347.5,30330.25,30346.25
1782895200,30346.25,30366.25,30341,30359
1782895500,30358,30359.75,30345.5,30350
1782895800,30350.25,30376,30347.5,30372.75
1782896100,30373.25,30378,30364.5,30377
1782896400,30376.25,30377.75,30346.25,30350.75
1782896700,30351.5,30362.75,30347.5,30349.25
1782897000,30351.25,30360,30338.75,30349.5
1782897300,30349.25,30361.5,30349.25,30357.25
1782897600,30357.5,30363.75,30352,30355.75
1782897900,30356,30356,30344,30354.5
1782898200,30354.5,30365,30347.5,30361
1782898500,30362.5,30364.5,30355,30358.25
1782898800,30359.75,30363.5,30352.25,30359
1782899100,30359.25,30373,30359,30369.25
1782899400,30371.75,30382,30366,30378.5
1782899700,30377.75,30386.25,30376.25,30385
1782900000,30384.75,30389.75,30374.25,30378.5
1782900300,30376.75,30380,30366.75,30370.25
1782900600,30368.5,30369,30351.75,30361.25
1782900900,30363.5,30381.5,30360,30379.25
1782901200,30379.5,30395.25,30379.5,30387.5
1782901500,30386.75,30397.5,30380.25,30395
1782901800,30394.5,30396,30385.25,30393.75
1782902100,30394.25,30401,30388.75,30393
1782902400,30393,30397.5,30364.25,30387.25
1782902700,30386.75,30397.25,30384,30395.75
1782903000,30395,30406.75,30394.5,30405
1782903300,30404.75,30414.5,30402,30407.75
1782903600,30406.75,30428,30406.75,30425
1782903900,30424.5,30435.25,30416,30422.25
1782904200,30421.75,30434,30409.25,30413
1782904500,30414.25,30419.75,30406,30408.25
1782904800,30407,30411,30396.75,30403.25
1782905100,30402.5,30414.75,30396.25,30398.75
1782905400,30399,30402,30387,30389.25
1782905700,30387.25,30396,30375.5,30383.25
1782906000,30382.75,30398,30373.75,30396.75
1782906300,30395.75,30396.75,30369.5,30372.25
1782906600,30371.75,30376.25,30356,30359
1782906900,30358,30367.5,30355,30362.75
1782907200,30363,30373.75,30340,30341.25
1782907500,30340.5,30357.25,30332.5,30355.75
1782907800,30356.5,30369,30349.5,30358.25
1782908100,30359.75,30384.5,30359.75,30379.5
1782908400,30379.5,30387.75,30369.25,30387.75
1782908700,30386.75,30386.75,30363.5,30369.5
1782909000,30368.5,30395,30297.25,30300.5
1782909300,30299.25,30320,30262.75,30263.5
1782909600,30263.25,30295,30243.75,30271.5
1782909900,30271.5,30283.5,30240.5,30249.25
1782910200,30252.25,30287.25,30233.25,30246.5
1782910500,30248.75,30285,30233.5,30268.75
1782910800,30267.75,30307,30266,30290.25
1782911100,30289.75,30293.5,30250.5,30259.75
1782911400,30262.75,30274,30240,30254.25
1782911700,30254.5,30314.5,30247.25,30284
1782912000,30284.5,30297.75,30276.25,30289
1782912300,30289,30292,30213,30235.5
1782912600,30235.75,30260,30104.75,30118.5
1782912900,30117.5,30162.5,30087.75,30114.5
1782913200,30114.5,30184.75,30097.5,30141.25
1782913500,30141.75,30226.25,30111.75,30204.5
1782913800,30205.5,30260,30188.5,30231
1782914100,30231.75,30285,30217.25,30283.75
1782914400,30280,30307.5,30244.25,30263.25
1782914700,30263.5,30316.75,30257,30296.75
1782915000,30296.5,30327.25,30279.75,30287.5
1782915300,30287,30314.75,30250.75,30302.5
1782915600,30302,30313.5,30272.75,30294
1782915900,30293,30312,30268.5,30284.75
1782916200,30284.5,30289.25,30218,30235.5
1782916500,30236.5,30264.75,30203.5,30264.25
1782916800,30264.25,30272,30202,30203.25
1782917100,30202.25,30204,30137.25,30195
1782917400,30194,30242.25,30189.5,30214.75
1782917700,30215,30220.75,30144.5,30192.25
1782918000,30193,30271,30186,30260.5
1782918300,30261,30270.25,30202.25,30226.75
1782918600,30226.75,30265,30204.25,30261.75
1782918900,30262.25,30315,30262.25,30298
1782919200,30298.5,30334.75,30298.5,30303
1782919500,30302,30346,30294.75,30343.25
